kingdom,class,phylum,order,family,genus,species
Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Aidanosagitta,Aidanosagitta neglecta
Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Aidanosagitta,Aidanosagitta regularis
Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Aidemona,Aidemona azteca
Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Aides,Aides dysoni
Chromista,Myzozoa,Dinophyceae,NA,NA,Ailadinium,Ailadinium reticulatum
Plantae,Anthophyta,Dicotyledoneae,Sapindales,Simaroubaceae,Ailanthus,Ailanthus altissima
Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea
Plantae,Anthophyta,Dicotyledoneae,Polygalales,Polygalaceae,Rhinotropis,Ala cornuta
Animalia,Mollusca,Gastropoda,NA,Litiopidae,Alaba,Alaba supralirata
Animalia,Mollusca,Gastropoda,NA,Cerithiidae,Alabina,Alabina excurvata
Animalia,Mollusca,Gastropoda,Littorinimorpha,Bursidae,Alanbeuella,Alanbeuella corrugata
Plantae,Anthophyta,Dicotyledoneae,Fabales,Fabaceae,Albizia,Albizia lebbeck
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Albizia,Albizia occidentalis
Animalia,Chordata,NA,Albuliformes,Albulidae,Albula,Albula argentea
Animalia,Chordata,NA,Albuliformes,Albulidae,Albula,Albula esuncula
Animalia,Chordata,NA,Albuliformes,Albulidae,Albula,Albula gilberti
Animalia,Chordata,Teleostei,Albuliformes,Albulidae,Albula,Albula nemoptera
Animalia,Chordata,NA,Albuliformes,Albulidae,Albula,Albula pacifica
Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Alcaeorrhynchus,Alcaeorrhynchus grandis
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Aldama,Aldama brandegeei
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Aldama,Aldama glomerata
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Aldama,Aldama glomerata var. glomerata
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Aldama,Aldama glomerata var. insularis
Animalia,Chordata,Actinopterygii,Carangiformes,Carangidae,Alectis,Alectis ciliaris
Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,Alexandrium affine
Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,Alexandrium catenella
Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,Alexandrium leei
Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,Alexandrium margalefi
Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,Alexandrium margalefii
Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,Alexandrium monilatum
Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,Alexandrium satoanum
Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,Alexandrium sp.
Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,Alexandrium tamarense
Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,Alexandrium tamiyavanichii
Animalia,Cnidaria,Anthozoa,Actiniaria,Aliciidae,Alicia,Alicia beebei
Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Kelliopsis,Kelliopsis cokeri
Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Isorobitella,Isorobitella trigonalis
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Kangiellaceae,Aliikangiella,Aliikangiella marina
Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta acutifolia
Animalia,Annelida,Polychaeta,Aciculata,Nereidae,Alitta,Alitta succinea
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Allamanda,Allamanda blanchetii
Plantae,Anthophyta,Dicotyledoneae,Caryophyllales,Amaranthaceae,Allenrolfea,Allenrolfea occidentalis
Plantae,Anthophyta,Dicotyledoneae,Caryophyllales,Nyctaginaceae,Allionia,Allionia incarnata
Plantae,Anthophyta,Monocotyledoneae,Asparagales,Amaryllidaceae,Allium,Allium schoenoprasum
Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Allocyclosa,Allocyclosa bifurca
Plantae,Anthophyta,Monocotyledoneae,Asparagales,Asphodelaceae,Aloe,Aloe vera
Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Alopias pelagicus
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Aloysia,Aloysia barbata
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Aloysia,Aloysia sp.
Animalia,Chordata,Teleostei,Perciformes,Serranidae,Alphestes,Alphestes immaculatus
Animalia,Chordata,Teleostei,Perciformes,Serranidae,Alphestes,Alphestes multiguttatus
Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,Alpheus cylindricus
Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,Alpheus galapagensis
Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,Alpheus hyeyoungae
Animalia,Mollusca,Gastropoda,Patellogastropoda,Lottiidae,Lottia,Alpheus lottini
Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,Alpheus malleator
Plantae,Anthophyta,Dicotyledoneae,Caryophyllales,Amaranthaceae,Alternanthera,Alternanthera caracasana
Animalia,Mollusca,Gastropoda,Stylommatophora,Discidae,Anguispira,Alternaria alternata
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Aluterus,Aluterus monoceros
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Aluterus,Aluterus scriptus
Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,Alvania oldroydae
Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia marina
Animalia,Annelida,Polychaeta,NA,Alvinellidae,Alvinella,Alvinella caudata
Animalia,Annelida,Polychaeta,NA,Alvinellidae,Alvinella,Alvinella pompejana
Animalia,Annelida,Polychaeta,NA,Alvinellidae,Alvinella,Alvinella sp.
Chromista,Myzozoa,Ellobiopsea,Ellobiopsida,Ellobiopsidae,Amallocystis,Amallocystis fagei
Plantae,Anthophyta,Dicotyledoneae,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus albus
Plantae,Anthophyta,Dicotyledoneae,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus dubius
Plantae,Anthophyta,Dicotyledoneae,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus fimbriatus
Plantae,Anthophyta,Dicotyledoneae,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus palmeri
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus sp.
Plantae,Anthophyta,Dicotyledoneae,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus fimbriatus
